Country,State,Region,Cases,Status,Date
USA,Maryland,"Baltimore City, Maryland, US",15204,confirmed,2020-09-19T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",15226,confirmed,2020-09-20T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",15259,confirmed,2020-09-21T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",15292,confirmed,2020-09-22T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",15329,confirmed,2020-09-23T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",5818570,confirmed,2020-09-24T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",5903932,confirmed,2020-09-25T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",5992532,confirmed,2020-09-26T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6074702,confirmed,2020-09-27T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6145291,confirmed,2020-09-28T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6225763,confirmed,2020-09-29T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6312584,confirmed,2020-09-30T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6394068,confirmed,2020-10-01T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6473544,confirmed,2020-10-02T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6549373,confirmed,2020-10-03T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6623815,confirmed,2020-10-04T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6685082,confirmed,2020-10-05T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6757131,confirmed,2020-10-06T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6835655,confirmed,2020-10-07T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6906151,confirmed,2020-10-08T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",6979423,confirmed,2020-10-09T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7053806,confirmed,2020-10-10T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7120538,confirmed,2020-10-11T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7175880,confirmed,2020-10-12T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7239389,confirmed,2020-10-13T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7307097,confirmed,2020-10-14T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7370468,confirmed,2020-10-15T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7432680,confirmed,2020-10-16T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7494551,confirmed,2020-10-17T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7550273,confirmed,2020-10-18T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7597063,confirmed,2020-10-19T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7651107,confirmed,2020-10-20T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7706946,confirmed,2020-10-21T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7761312,confirmed,2020-10-22T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7814682,confirmed,2020-10-23T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7864811,confirmed,2020-10-24T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7909959,confirmed,2020-10-25T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7946429,confirmed,2020-10-26T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",7990322,confirmed,2020-10-27T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8040203,confirmed,2020-10-28T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8088851,confirmed,2020-10-29T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8137119,confirmed,2020-10-30T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8184082,confirmed,2020-10-31T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8229313,confirmed,2020-11-01T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8267623,confirmed,2020-11-02T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8313876,confirmed,2020-11-03T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8364086,confirmed,2020-11-04T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8411724,confirmed,2020-11-05T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8462080,confirmed,2020-11-06T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8507754,confirmed,2020-11-07T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8553657,confirmed,2020-11-08T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8591730,confirmed,2020-11-09T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8636011,confirmed,2020-11-10T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8683916,confirmed,2020-11-11T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8728795,confirmed,2020-11-12T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8773479,confirmed,2020-11-13T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8814579,confirmed,2020-11-14T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8845127,confirmed,2020-11-15T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8874290,confirmed,2020-11-16T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8912907,confirmed,2020-11-17T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",8958483,confirmed,2020-11-18T00:00:00Z
USA,Maryland,"Baltimore City, Maryland, US",9004365,confirmed,2020-11-19T00:00:00Z
